Content Code,DVC Partner,Photo / Video,Source Link,Preservation Link,Reported Location Details (free text),City,Content Description,Military visible?,Graphic,Publication Date,Publication Time,Verification Status,Category 1,Category 2,Perpetrators,Event Date,Event Time,Location,Latitude,Longitude,Related Content,,Brian,
MMR001,,Photo,https://twitter.com/Lynn34848438/status/1366651490656538624,,,Thanlyin,Navy in vehciles,TRUE,FALSE,02-Mar-21,,,Military,,,,,,,,,,,
MMR033,,Photo,https://twitter.com/hayman_oo/status/1366651664996970497,https://web.archive.org/web/20210302085105/https://twitter.com/hayman_oo/status/1366651664996970497,"Near Vista Hotel, Bagaya street, San Chaung Township",Yangon,Military taking aim,TRUE,FALSE,02-Mar-21,,Verified,Military,,,02-Mar-21,,,16.803688,96.134078,,,MA-S sniper rifle (locally made),
MMR034,,Video,https://twitter.com/khineZarChiKo1/status/1366649440300191745,,"Near Vista Hotel, Bagaya street, San Chaung Township",Yangon,Military taking aim lying on ground,TRUE,FALSE,02-Mar-21,,Verified,Military,Live Ammunition,,02-Mar-21,,,16.8037,96.133861,https://twitter.com/nelly_htun/status/1366648215978864642,,"The vid version is important because it shows command direction, not random shooting by overwhelmed police",
MMR034 ,,Photo,https://twitter.com/Zed64338738/status/1366622148731670531,,Kalae Township,Sagaing,Wounded on stretchers etc,FALSE,TRUE,02-Mar-21,,,Injuries,,,,,,,,,,,
MMR035,,Photo,https://twitter.com/YwunMeMe412/status/1366628450489012226,,Kalae Township,Sagaing,Water canon,TRUE,FALSE,02-Mar-21,,,Injuries,Military,Military,02-Mar-21,10:30,,,,https://twitter.com/Reuters/status/1366711129674838019,https://www.facebook.com/Chin-World-167011980026853/videos/1631088860414826,,
MMR036,,Photo,https://twitter.com/GenerationZzzzz/status/1366631363974230018,,Kalae Township,Sagaing,Blood wounded,FALSE,TRUE,02-Mar-21,,,Injuries,,,,,,,,,,,
MMR036,,Video,https://twitter.com/callmethwelt/status/1366623183579668480,https://dvc.amnesty.org/Media/Bookmark/e0417934-21a3-4aef-968b-0098caeee5e9,Kalae Township,Sagaing,Police march on and attack protesters who return attack,FALSE,FALSE,02-Mar-21,19:34 (HKT),,Beating,,Police,02-Mar-21,,,,,https://twitter.com/FedeX4AIT/status/1367076001885392897,https://twitter.com/mrattkthu/status/1366645141621080064 (possible original source),https://twitter.com/ElevenMyanmar/status/1366630885940858880 (from another angle),https://twitter.com/PhyoThidaNyein2/status/1366971576793579523/photo/2 (another angle)
MMR037,,Video,https://twitter.com/keren_khin/status/1366659065909112836,,Mingalar Oo Qtr,Taunggyi,Protesters beaten by police,FALSE,FALSE,02-Mar-21,15:58 (HKT),Verified,Beating,,Police,02-Mar-21,around 12 to 2pm,"Next to Cafe Morning Sun (E Circular Rd, Taunggyi, Myanmar)",20.798799,97.039266,https://twitter.com/MMProtestsNews/status/1366671055713046531 (longer version),Supporting evidence: https://docs.google.com/document/d/1DUBZoYTzErFRzC5PXkfmbwsTwmvT8Jxnh7fCQqXFymc/edit?usp=sharing,,
MMR038,,Video,https://twitter.com/keren_khin/status/1366648500952256517,,Sanchaung,Yangon,Tear gas in streets,FALSE,FALSE,02-Mar-21,13:46 (MMT),Verified,Less-lethals,,Unclear,02-Mar-21,,,16.802227,96.13611,,,,
MMR039,,Video,https://twitter.com/Myanmar_Now_Eng/status/1366687582025736198,https://web.archive.org/web/20210304155820/https://twitter.com/Myanmar_Now_Eng/status/1366687582025736198,Insein Road ,Yangon,Military cleanup,TRUE,FALSE,02-Mar-21,16:21 (MMT),Verified,Other,,,02-Mar-21,12:00,"Intersection of Tha Har Ra Street and Insein Road, Hlaing Township, Yangon",16.83899296,96.12721341,,,,
MMR040,,Video,https://twitter.com/jamesmilzer/status/1366620332006793218,,,Dawei,Weapons fired in the street,TRUE,FALSE,02-Mar-21,11:54 (MMT),,Live Ammunition,Military,Military,,,,,,,,,
MMR041,,Video,https://twitter.com/HtayNm/status/1366622847221784581,,,Mawlamyine,Police in the street and fire,FALSE,FALSE,02-Mar-21,12:04 (MMT),,Other,,Police,,,,,,,,,
MMR042,,Video,https://twitter.com/TinMoeKhaing8/status/1366645685576101888,https://web.archive.org/web/20210302144835/https://twitter.com/TinMoeKhaing8/status/1366645685576101888,"Insein Road, Hlaing Township, Station Road",Yangon,Militatry and sound of weapons discharge,TRUE,FALSE,02-Mar-21,13:34 (MMT),Verified,Live Ammunition,Military,Military,02-Mar-21,11:30 - 12:00 ,"Intersection of Insein Road and Hlaing Station Road, Hlaing Township, Yangon",16.83675404,96.12772346,,,,
MMR043,,Video,https://twitter.com/nangninenine/status/1366608430312562694,,,Yangon,,FALSE,FALSE,02-Mar-21,11:06 (MMT),,,,,,,,,,,,,
MMR044,,Video,https://twitter.com/NyanLinNaing3/status/1366621136918749187,,Insein,Yangon,"Military vehicles driving down road, weapon fire",FALSE,FALSE,01-Mar-21,15:15 (MMT),,,Military,Military,01-Mar-21,,,,,,,,
MMR045,,Video,https://www.youtube.com/watch?v=e-O-J16fVQ4,,Zay Kyo Market,Mawlamyine,Police in pick-up trucks randomly fire at buildings - no protesters around,FALSE,FALSE,01-Mar-21,,Verified,Live Ammunition,,,01-Mar-21,,,16.452022,97.635815,,,Semi-auto rifle fire,
MMR046,,Photo,https://twitter.com/iamthurein/status/1366640082954850305,,Bagaya Street,Yangon,Police carrying rifles,FALSE,FALSE,02-Mar-21,13:05 (MMT),,Live Ammunition,,,,,,,,,,,
MMR047,,Video,https://twitter.com/Khine49740986/status/1366707526146777090,,Insein Road (top of Ywama Kyaung Road),Yangon,"Security forces march through streets, firing shotguns up towards buildings",FALSE,FALSE,02-Mar-21,17:40 (MMT),,Military,,,,,,,,https://www.youtube.com/watch?v=DBhgxSNeWHc,,,